property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag
81963,-37.980302,145.237918,22 Banksia Street,DOVETON,HINDMARSH ,19888,2.7,46,1
13355,-37.694531,144.751251,61 John Paul Drive,HILLSIDE,GREATER DANDENONG ,20000,2.15,34,1
39704,-37.69869,145.07901,143 Cameron Parade,BUNDOORA,WODONGA ,19984,1.43,42,1
21114,-37.7575814,144.9521931,35 Rose Street,BRUNSWICK,MARIBYRNONG ,19967,0.85,18,1
36593,-37.674222,145.028002,87 William St,LALOR,KINGSTON ,20006,1.33,48,1
41687,-37.744531,145.07917,160 Beverley Road,ROSANNA,EAST GIPPSLAND ,19936,1.16,36,1
74170,-37.913815,145.279236,47 Crusoe Drive,LYSTERFIELD,BALLARAT ,19867,3.42,49,1
22522,-37.746489,144.965014,3 Baxter Street,COBURG,MOONEE VALLEY ,19965,0.48,23,1
40405,-37.692625,145.060099,32/117 Plenty Road,BUNDOORA,WODONGA ,19984,2.92,42,1
48665,-37.803868,145.057876,69 Argyle Road,KEW,SOUTH GIPPSLAND ,19903,2.32,14,1
59532,-37.82943344,145.1978912,19 Walker Avenue,MITCHAM,PORT PHILLIP ,19900,1.37,31,1
50009,-37.769536,145.087821,2 Marcellin Road,BULLEEN,MARIBYRNONG ,19935,2.76,34,1
86087,-37.89893341,145.00140380000005,127 North Road,BRIGHTON,HUME ,19953,0.35,no direct trip is available,0
22575,-37.738396,144.9702694,301A/41-43 Stockade Avenue,COBURG,MOONEE VALLEY ,19965,0.75,23,1
79394,-37.941054,145.163323,80 Kemp Street,SPRINGVALE,GREATER BENDIGO ,19913,1.28,36,1
44136,-37.715113,145.09454,11 Narbethong Drive,GREENSBOROUGH,GLEN EIRA ,19984,1.05,42,1
35902,-37.682214,145.03202,18 Darebin Drive,THOMASTOWN,CAMPASPE ,20007,1.58,46,1
21758,-37.738013,144.960026,10 Rolland Street,COBURG,MOONEE VALLEY ,19964,0.56,25,1
41367,-37.750313,145.07728799999995,1/12 Fay Street,HEIDELBERG,MONASH ,19936,1.28,36,1
71484,-37.842621,145.223442,37 Clarence Road,WANTIRNA,CENTRAL GOLDFIELDS ,19871,2.45,37,1
90001,-37.971918,145.06333999999995,1365 Nepean Highway,CHELTENHAM,YARRA RANGES ,19866,0.97,40,1
35408,-37.710723,145.01876299999995,66 McMahon Road,RESERVOIR,EAST GIPPSLAND ,20009,0.87,41,1
14453,-37.75904600000001,144.902879,41 St Kinnord Street,ABERFELDIE,MITCHELL ,20037,1.22,16,1
39507,-37.712255,145.029901,112 The Fairway,KINGSBURY,ALPINE ,20009,1.86,41,1
42056,-37.74791718,145.0653687,3 Ward Grove,HEIDELBERG,MONASH ,19936,0.56,36,1
24147,-37.699403,144.972708,2/31 Lowson Street,FAWKNER,MONASH ,19961,1.23,30,1
94232,-38.07745743,145.1227264,656B Nepean Highway,CARRUM,QUEENSCLIFFE ,19858,0.29,58,1
17168,-37.70134354,144.9062042,39 Valley Crescent,GLENROY,WYNDHAM ,20032,1.03,28,1
44494,-37.71884537,145.1087494,193 Hickling Avenue,GREENSBOROUGH,GLEN EIRA ,19986,1.19,48,1
63215,-37.787498,145.300266,1 WICKHAM ROAD,CROYDON,CARDINIA ,19877,1.11,46,1
22654,-37.739319,144.952755,35 Soudan Street,COBURG,MOONEE VALLEY ,19965,0.99,23,1
13992,-37.75558472,144.8989868,1b Vida Street,ABERFELDIE,MITCHELL ,20037,1.52,16,1
16141,-37.705048,144.894217,8 Clover Court,GOWANBRAE,WYNDHAM ,20032,2.03,28,1
19102,-37.676001,144.937739,62 DALLAS DRIVE,DALLAS,MOORABOOL ,19960,1.36,34,1
42277,-37.74679565,145.0809937,46 Gloucester Drive,HEIDELBERG,MONASH ,19936,1.38,36,1
23685,-37.65426805,144.890975,5 Murray Close,GREENVALE,HORSHAM ,44817,3.18,35,1
70984,-37.84073639,145.22688290000005,1/270 Wantirna Road,WANTIRNA,CENTRAL GOLDFIELDS ,19871,2.08,37,1
58344,-37.823601,145.154089,8 Gordon Crescent,BLACKBURN,GREATER GEELONG ,19898,0.53,26,1
65288,-37.79835,145.325284,3 Morrison Crescent,KILSYTH,SURF COAST ,19877,1.89,46,1
80716,-37.986743,145.228805,108 Clow Street,DANDENONG,CARDINIA ,19888,1.71,46,1
50666,-37.776921,145.116292,1 Howard Court,DONCASTER,MORELAND ,20042,4.73,22,1
48877,-37.80776,145.102952,1/15 Pryton Court,BALWYN,HOBSONS BAY ,19896,1.32,25,1
83793,-37.855465,145.003889,27 Packington Street,PRAHRAN,BOROONDARA ,19946,1.02,14,1
60362,-37.840272,145.196686,1 Barnesdale Drive,VERMONT,CENTRAL GOLDFIELDS ,19900,2.51,31,1
2722,-37.823711,144.882672,11 Thomas Street,YARRAVILLE,MITCHELL ,19995,0.82,no direct trip is available,0
72992,-37.840039,145.288977,15 Hilda Avenue,BORONIA,TOWONG ,19870,1.84,41,1
36257,-37.669007,145.029008,20 Louise Street,LALOR,KINGSTON ,20006,1.1,48,1
61756,-37.820068,145.224486,3/22 Barkly Street,RINGWOOD,MACEDON RANGES ,19902,0.61,34,1
28033,-37.796821,144.97551299999995,1 Henry Street,FITZROY,NILLUMBIK ,19843,1.6,2,1
38826,-37.762024,145.041461,31 Valentine Street,IVANHOE,BASS COAST ,19933,0.84,30,1
56253,-37.843156,145.119523,16 Glengarry Avenue,BURWOOD,MARIBYRNONG ,20042,2.67,22,1
86400,-37.917793,145.00536100000005,24 Laburnum Street,BRIGHTON,HUME ,19951,0.85,no direct trip is available,0
74144,-37.905318,145.282029,23 Viewgrand Rise,LYSTERFIELD,BALLARAT ,19867,2.65,49,1
14769,-37.74604034,144.8949127,73 Price Street,ESSENDON,NILLUMBIK ,20037,2.18,16,1
79879,-37.991611,145.183124,2/6 Centenary Court,KEYSBOROUGH,KINGSTON ,19889,1.66,42,1
80814,-37.96931076,145.2087708,1435 HEATHERTON RD,DANDENONG,CARDINIA ,19889,1.81,42,1
85998,-37.896532,144.987799,11 Kent Avenue,BRIGHTON,HUME ,19953,1.44,no direct trip is available,0
17504,-37.70476532,144.93821719999997,6 Melbourne Avenue,GLENROY,WYNDHAM ,20032,1.85,28,1
52520,-37.827478,144.996647,18 Chapel Street,CREMORNE,WELLINGTON ,19907,0.13,no direct trip is available,1
50403,-37.772636,145.100317,8 Harold Street,BULLEEN,MARIBYRNONG ,19935,3.89,34,1
76871,-37.926437,145.132227,48 Jaguar Drive,CLAYTON,HINDMARSH ,19915,1.05,31,1
80358,-37.995648,145.15208700000005,50 Lake View Boulevard,KEYSBOROUGH,KINGSTON ,19890,3.84,41,1
8347,-37.763873,144.792628,26 Woodburn Avenue,CAIRNLEA,YARRA RANGES ,20003,1.65,26,1
7234,-37.742368,144.769098,15 Leckie Drive,ALBANVALE,HEPBURN ,20001,2.61,31,1
79969,-38.002695,145.14956999999995,24 Trina Court,KEYSBOROUGH,KINGSTON ,19889,4.58,42,1
646,-37.79462051,144.8937225,22 White Street,FOOTSCRAY,WHITTLESEA ,20024,0.9,13,1
26962,-37.575454,144.926971,44 Burniston Avenue,CRAIGIEBURN,YARRA RANGES ,40221,3.27,41,1
4461,-37.843141,144.876426,42 Agg Street,NEWPORT,MANSFIELD ,19994,0.63,no direct trip is available,0
48783,-37.803308,145.031069,86 Brougham Street,KEW,SOUTH GIPPSLAND ,19904,2.08,12,1
28319,-37.79498291,144.98277280000005,490 George Street,FITZROY,NILLUMBIK ,19975,1.13,18,1
77516,-37.934288,145.171395,140 Albany Drive,MULGRAVE,MACEDON RANGES ,19913,2.31,36,1
59411,-37.809905,145.186254,14 Dunfield Avenue,MITCHAM,PORT PHILLIP ,19900,1.03,31,1
53792,-37.815407,144.998906,8 Rule Street,RICHMOND,EAST GIPPSLAND ,19978,0.66,14,1
39013,-37.758648,145.03777,74 Oriel Road,IVANHOE,BASS COAST ,19933,1.32,30,1
32033,-37.74530029,145.02001950000005,17 Cynga Street,PRESTON,BOROONDARA ,20013,1.75,33,1
77213,-37.939381,145.10314,34 Merrigum Crescent,CLARINDA,BULOKE ,19915,2.24,31,1
83147,-37.885538,145.249449,3 Valetta Crescent,KNOXFIELD,SOUTHERN GRAMPIANS ,19868,4.05,46,1
42233,-37.742624,145.075921,42 Coorie Crescent,ROSANNA,EAST GIPPSLAND ,19936,0.86,36,1
77509,-37.92782,145.200252,14 Nimmo Court,MULGRAVE,MACEDON RANGES ,19891,4.58,38,1
85254,-37.87884521,145.0018921,13 Elizabeth St,ELSTERNWICK,MORELAND ,19954,0.66,no direct trip is available,0
27705,-37.59558105,144.9301758,76 Dianne Avenue,CRAIGIEBURN,YARRA RANGES ,40221,1.35,41,1
22703,-37.738713,144.95299599999996,38 Soudan Street,COBURG,MOONEE VALLEY ,19965,1.0,23,1
31414,-37.75749207,145.00508119999995,67 Rossmoyne Street,THORNBURY,LATROBE ,20014,0.63,31,1
84347,-37.8522971,144.9998422,75 Lewisham Road,PRAHRAN,BOROONDARA ,19957,0.8,no direct trip is available,0
23999,-37.703184,144.964282,14 McDougall Street,FAWKNER,MONASH ,19961,0.55,30,1
22796,-37.748913,144.952437,42 Hawthorn Street,COBURG,MOONEE VALLEY ,19966,1.03,21,1
80251,-37.991844,145.183837,40 Bracknell Street,KEYSBOROUGH,KINGSTON ,19889,1.66,42,1
35269,-37.726559,144.992377,592 Gilbert Road,RESERVOIR,EAST GIPPSLAND ,20011,0.94,37,1
85179,-37.879979,145.006144,1 Long Street,ELSTERNWICK,MORELAND ,19954,0.7,no direct trip is available,0
45354,-37.697142,145.093425,6 Yando Street,GREENSBOROUGH,GLEN EIRA ,19985,1.51,46,1
71925,-37.84742355,145.27224730000003,1/17 Neilson Street,BAYSWATER,INDIGO ,19870,0.73,41,1
88016,-37.93779755,145.03907780000003,1 Gwenda Avenue,MOORABBIN,MANSFIELD ,19937,0.43,34,1
3186,-37.82065582,144.8811188,25 Bena Street,YARRAVILLE,MITCHELL ,19996,0.94,no direct trip is available,0
4846,-37.855407,144.822377,116 McIntyre Drive,ALTONA,BRIMBANK ,19925,1.34,no direct trip is available,0
46450,-37.708491,145.171494,11 Onkara Court,ELTHAM,FRANKSTON ,19987,2.16,52,1
22101,-37.746216,144.967034,17 Sheffield Street,COBURG,MOONEE VALLEY ,19965,0.54,23,1
39355,-37.704494,145.06094299999995,10 Barton Court,BUNDOORA,WODONGA ,19984,2.14,42,1
64768,-37.811698,145.282899,63 JESMOND ROAD,CROYDON,CARDINIA ,19878,1.82,42,1
6919,-37.793514,144.82908700000004,67 Benjamin Street,SUNSHINE,KNOX ,20021,0.65,20,1
26509,-37.57846,144.913622,31 Riverway View,CRAIGIEBURN,YARRA RANGES ,40221,3.69,41,1
44855,-37.683543,145.104877,3 Palpera Terrace,GREENSBOROUGH,GLEN EIRA ,19985,2.29,46,1
70838,-37.873588,145.10728999999995,58 Railway Parade,CHADSTONE,MELTON ,19840,0.42,no direct trip is available,0
45256,-37.705374,145.114241,53 Bannerman Avenue,GREENSBOROUGH,GLEN EIRA ,19985,0.55,46,1
82193,-37.999077,145.246975,41 Olive Road,EUMEMMERRING,PYRENEES ,19885,2.88,50,1
88786,-37.94989777,145.0385132,32 Donald Street,HIGHETT,GREATER DANDENONG ,19872,0.34,37,1
86523,-37.9237175,144.9899139,3 Maysbury Ave,BRIGHTON,HUME ,19950,0.32,no direct trip is available,0
46251,-37.7117424,145.12146,79 Mountain View Road,MONTMORENCY,PORT PHILLIP ,19986,0.4,48,1
73931,-37.85149765,145.28302,7 Damar Ave,BORONIA,TOWONG ,19869,1.0,44,1
85526,-37.883119,145.013308,31 Prentice Street,ELSTERNWICK,MORELAND ,19954,1.11,no direct trip is available,0
80154,-37.984271,145.164332,344 Corrigan Road,KEYSBOROUGH,KINGSTON ,19890,2.2,41,1
10101,-37.79660416,144.9187622,15 Kirk Street,KENSINGTON,SOUTH GIPPSLAND ,20026,0.67,no direct trip is available,0
63274,-37.782886,145.290698,1/30 Bartlett Avenue,CROYDON,CARDINIA ,19878,1.66,42,1
65984,-37.78014,145.315057,20 Larnook Crescent,MOOROOLBARK,WEST WIMMERA ,19877,0.56,46,1
74729,-37.897954,145.075578,199 Poath Road,MURRUMBEENA,MOIRA ,19918,0.39,24,1
4802,-37.870049,144.820957,1/8 Rayner Street,ALTONA,BRIMBANK ,19926,0.83,no direct trip is available,0
69721,-37.862285,145.095881,20 Edmonds Avenue,ASHWOOD,DAREBIN ,19848,1.28,27,1
65743,-37.760368,145.318074,13 HIGHLEIGH COURT,MOOROOLBARK,WEST WIMMERA ,19876,2.66,51,1
14130,-37.756413,144.92396200000005,24 Wheeler Place,ESSENDON,NILLUMBIK ,20037,0.68,16,1
79195,-37.937423,145.146434,53 Burden Street,SPRINGVALE,GREATER BENDIGO ,19914,0.68,33,1
8538,-37.75695419,144.7821198,5 Cormorant Drive,CAIRNLEA,YARRA RANGES ,20002,2.07,28,1
6236,-37.795099,144.832507,16 Couch Street,SUNSHINE,KNOX ,20021,0.73,20,1
69193,-37.86309814,145.0390167,5 Horace Street,MALVERN,BAW BAW ,19944,0.92,18,1
9701,-37.844675,144.727564,93 Marquands Rd,TRUGANINA,CENTRAL GOLDFIELDS ,46468,3.3,no direct trip is available,0
51720,-37.789736,145.118097,9 Koolkuna Avenue,DONCASTER,MORELAND ,20042,3.3,22,1
50975,-37.778592,145.12782099999995,2 Ivan Street,DONCASTER,MORELAND ,20042,4.56,22,1
29664,-37.765753,145.016605,2/25 Swift Street,NORTHCOTE,MURRINDINDI ,19930,1.49,26,1
80212,-37.987045,145.17895900000005,4 Cornwall Avenue,KEYSBOROUGH,KINGSTON ,19889,1.48,42,1
4518,-37.83811951,144.8765869,"5/45 Oxford Street,",NEWPORT,MANSFIELD ,19994,0.8,no direct trip is available,0
51911,-37.796953,145.20296299999995,38 Heads Road,DONVALE,CASEY ,19900,2.54,31,1
92653,-37.985606,145.090803,12 Margaret Street,PARKDALE,STONNINGTON ,19864,1.52,45,1
89658,-37.951093,145.012917,73 Sandringham Road,SANDRINGHAM,PYRENEES ,19948,0.74,no direct trip is available,0
80810,-37.997533,145.200733,142 Kirkham Rd,DANDENONG,CARDINIA ,19888,1.15,46,1
72018,-37.849387,145.262641,12 Ozone Road,BAYSWATER,INDIGO ,19870,0.98,41,1
17536,-37.696249,144.913053,62 Beckett Street North,GLENROY,WYNDHAM ,20031,0.28,30,1
51840,-37.79759979,145.1770935,20 Underwood Drive,DONVALE,CASEY ,19899,2.57,28,1
22986,-37.748914,144.95834,58 Marks Street,COBURG,MOONEE VALLEY ,19966,0.69,21,1
79246,-37.934989,145.154269,6 Fairview Street,SPRINGVALE,GREATER BENDIGO ,19914,1.41,33,1
45838,-37.719619,145.130176,15 Kinnear Court,MONTMORENCY,PORT PHILLIP ,19986,0.9,48,1
74967,-37.901312,145.071368,3 Kirkham Road,MURRUMBEENA,MOIRA ,19918,0.9,24,1
1016,-37.8015534,144.8888581,42 Errol Street,FOOTSCRAY,WHITTLESEA ,20024,0.25,13,1
30980,-37.755106,145.015797,23 Harry Street,THORNBURY,LATROBE ,20014,1.52,31,1
1202,-37.80450058,144.8934631,56 Walter Street,SEDDON,EAST GIPPSLAND ,20024,0.28,13,1
66697,-37.786982,145.327478,77 Kipling Ave,MOOROOLBARK,WEST WIMMERA ,19877,1.35,46,1
76196,-37.907032,145.083877,41 Moorookyle Avenue,HUGHESDALE,BASS COAST ,19917,0.84,26,1
53548,-37.82182312,144.9899445,6 Richmond Terrace,RICHMOND,EAST GIPPSLAND ,19908,0.25,6,1
21192,-37.761867,144.96676499999995,4 Hardy Street,BRUNSWICK,MARIBYRNONG ,19967,0.54,18,1
8163,-37.752943,144.75466799999995,17 Billungah Place,BURNSIDE,MOYNE ,20002,4.09,28,1
1453,-37.808161,144.892705,8 Perry Street,SEDDON,EAST GIPPSLAND ,19997,0.28,no direct trip is available,0
71776,-37.84975900000001,145.24186799999995,7 Whitehaven Street,WANTIRNA,CENTRAL GOLDFIELDS ,19871,2.4,37,1
76761,-37.91598,145.11373899999995,30  Edinburgh St,CLAYTON,HINDMARSH ,19915,1.14,31,1
25666,-37.596277,144.91243799999995,18 Balyang Way,CRAIGIEBURN,YARRA RANGES ,40221,2.79,41,1
80900,-37.974143,145.212742,18 Bedwell Avenue,DANDENONG,CARDINIA ,19888,1.78,46,1
33510,-37.714589,145.019665,10 Fordham Road,RESERVOIR,EAST GIPPSLAND ,20010,1.14,40,1
41965,-37.732748,145.069897,26 Thomson Drive,ROSANNA,EAST GIPPSLAND ,19983,0.75,39,1
87876,-37.94322968,145.0181427,62 David Street,HAMPTON,WYNDHAM ,19948,1.43,no direct trip is available,0
27640,-37.599859,144.930775,7 Smeaton Court,CRAIGIEBURN,YARRA RANGES ,40221,1.13,41,1
63604,-37.7868309,145.2738648,151 Maroondah Highway,CROYDON,CARDINIA ,19878,1.13,42,1
23322,-37.64296341,144.8978729,1 Newcastle Court,GREENVALE,HORSHAM ,44817,3.19,35,1
69237,-37.848985,145.03540700000005,6 Robinson Street,MALVERN,BAW BAW ,19911,0.56,no direct trip is available,1
2188,-37.789884,144.875649,35 Albert Facey Street,MAIDSTONE,BAW BAW ,20022,1.53,17,1
82540,-37.90234375,145.27342219999997,119 Fairway Drive,ROWVILLE,BALLARAT ,19868,2.99,46,1
52818,-37.821188,145.00985730000005,25 Type Street,RICHMOND,EAST GIPPSLAND ,19906,0.74,8,1
71566,-37.865526,145.229158,43 Raheen Avenue,WANTIRNA,CENTRAL GOLDFIELDS ,19870,4.33,41,1
7679,-37.742745,144.76501399999995,9 Delamare Drive,ALBANVALE,HEPBURN ,20001,2.94,31,1
91979,-37.98282623,145.05422969999995,12 Wakool Avenue,MENTONE,WEST WIMMERA ,19865,0.97,43,1
96279,-37.926079,145.040494,82 Jasper Road,BENTLEIGH,HOBSONS BAY ,19938,0.45,32,1
65312,-37.806038,145.303329,32 Landstrom Quadrant,KILSYTH,SURF COAST ,19878,2.32,42,1
51494,-37.783343,145.152946,5 Homebush Court,DONCASTER EAST,CASEY ,19898,4.1,26,1
44027,-37.70056152,145.10150149999996,1/45 Hailes Street,GREENSBOROUGH,GLEN EIRA ,19985,0.7,46,1
23570,-37.656372,144.901776,3 Stella Court,GREENVALE,HORSHAM ,44817,2.2,35,1
29974,-37.7764473,145.0152893,34 Stafford Street,NORTHCOTE,MURRINDINDI ,19930,0.33,26,1
31879,-37.733764,145.031835,14 Elm Street,PRESTON,BOROONDARA ,20011,2.63,37,1
28096,-37.80072784,144.975235,14 Garfield Street,FITZROY,NILLUMBIK ,19843,1.17,2,1
74936,-37.90469742,145.07467649999995,281 Poath Road,MURRUMBEENA,MOIRA ,19918,1.12,24,1
74483,-37.89881897,145.05737309999995,10 Rosanna Street,CARNEGIE,MELBOURNE ,19919,1.3,22,1
70762,-37.883701,145.108401,39 Gateway Close,CHADSTONE,MELTON ,19840,1.17,no direct trip is available,0
31235,-37.7575798,145.0033569,40 Rossmoyne Street,THORNBURY,LATROBE ,20014,0.51,31,1
93249,-37.984656,145.080579,34 Hawke Street,PARKDALE,STONNINGTON ,19864,1.01,45,1
43756,-37.709345,145.08913700000005,39 Longmuir Road,WATSONIA,MANNINGHAM ,19984,0.5,42,1
32099,-37.74032593,145.01795959999995,18 Wymbir Avenue,PRESTON,BOROONDARA ,20012,1.55,35,1
92723,-38.001835,145.103519,14 Purtell Close,MORDIALLOC,PORT PHILLIP ,19863,1.49,48,1
32067,-37.731976,145.020216,179 Tyler Street,PRESTON,BOROONDARA ,20011,1.59,37,1
42341,-37.750532,145.070001,5/89 Rosanna Road,HEIDELBERG,MONASH ,19936,0.92,36,1
85647,-37.898667,145.01199,43 Gardenvale Road,GARDENVALE,INDIGO ,19953,0.72,no direct trip is available,0
55964,-37.844235,145.069981,8 St Andries Street,CAMBERWELL,MELBOURNE ,19850,0.49,23,1
17297,-37.703564,144.90659499999995,46 Centre Way,GLENROY,WYNDHAM ,20032,0.94,28,1
64793,-37.799991,145.299015,7 BOND COURT,CROYDON,CARDINIA ,19878,1.7,42,1
31098,-37.762362,145.00456100000005,30 Fenwick Street,THORNBURY,LATROBE ,20015,0.69,29,1
50737,-37.78727722,145.1066132,11 Golf Links Court,DONCASTER,MORELAND ,19896,3.58,25,1
50451,-37.766493,145.099969,99 Bourke Street,BULLEEN,MARIBYRNONG ,19935,3.61,34,1
48766,-37.80611801,145.0176544,80A Studley Park Road,KEW,SOUTH GIPPSLAND ,19905,1.81,10,1
12607,-37.721967,144.769241,2/35 Kalyna Court,DELAHEY,BULOKE ,20001,2.31,31,1
15165,-37.728494,144.916605,26 Roslyn Street,STRATHMORE,KNOX ,20034,1.05,23,1
13831,-37.759316,144.893947,14 Caroline Street,ABERFELDIE,MITCHELL ,20037,1.99,16,1
75342,-37.893518,145.071677,6 Rosella Ave,MURRUMBEENA,MOIRA ,19919,0.53,22,1
59410,-37.823467,145.203997,14 Dudley Street,MITCHAM,PORT PHILLIP ,19901,0.93,32,1
26820,-37.609541,144.921428,4 Meadowbank Court,CRAIGIEBURN,YARRA RANGES ,40221,2.11,41,1
81230,-37.98879623,145.22550959999995,39 MacPherson Street,DANDENONG,CARDINIA ,19888,1.39,46,1
36590,-37.67420300000001,145.027831,85 William Street,LALOR,KINGSTON ,20006,1.32,48,1
13276,-37.724247,144.773125,55 Frost Drive,DELAHEY,BULOKE ,20001,1.9,31,1
41091,-37.68011475,145.05546569999996,7 Spotted Gum Crescent,BUNDOORA,WODONGA ,45795,3.59,54,1
82437,-37.996674,145.22866399999995,85 Box Street,DOVETON,HINDMARSH ,19888,1.82,46,1
83775,-37.8559715,144.994377,26 McIlwrick Street,WINDSOR,MAROONDAH ,19957,0.21,no direct trip is available,0
36492,-37.672247,145.044529,5 Watson Court,LALOR,KINGSTON ,20006,2.51,48,1
94011,-38.058622,145.132026,65 Royal Road,BONBEACH,QUEENSCLIFFE ,19859,1.18,56,1
9772,-37.90127182,144.6357269,23 Illawong Grove,WERRIBEE,LODDON ,19921,2.24,no direct trip is available,0
40078,-37.701962,145.058737,22 Doidge Street,BUNDOORA,WODONGA ,19984,2.42,42,1
74210,-37.882711,145.02861399999995,1/6 Newlyn Street,CAULFIELD,MELTON ,19943,1.35,17,1
61411,-37.82205582,145.23670959999995,18 Emerald Street,RINGWOOD,MACEDON RANGES ,19902,0.97,34,1
